id,value
Transitional&Projects.Public&art.366-Government&life&suspension,366
Transitional&Projects.Public&art.372-Old&Public&Toilets,372
Transitional&Projects.Public&art.370-Orange&tree,370
Transitional&Projects.Public&art.372-Container&love,372
Transitional&Projects.Public&safety,
Transitional&Projects.Public&safety.134-Red&zone,134
Transitional&Projects.Public&space&improvement.-,
Transitional&Projects.Public&space&improvement.42-Oxford&Terrace&temporary&streetscape,42
Transitional&Projects.Public&space&improvement.44-Colombo&Street&temporary&streetscape,44
Transitional&Projects.Public&space&improvement.46-Temporary&bus&exchange,46
Transitional&Projects.Public&space&improvement.152-The&Arcades&Project,152
Transitional&Projects.Public&space&improvement.190-Gap&projects&in&Kaiapoi,190
Transitional&Projects.Public&space&improvement.268-CCC&temporary&street&furniture,268
Transitional&Projects.Public&space&improvement.294-Bus&exchange&boundary&seats,294
Transitional&Projects.Public&tour,
Transitional&Projects.Public&tour.368-Transitional&city&audio&tour,368
Transitional&Projects.Retail,
Transitional&Projects.Retail.10-Re:START,10
Transitional&Projects.Retail.124-Plume,124
Transitional&Projects.Retail.188-Dairy&and&container&Colombo&Street,188
Transitional&Projects.Retail.218-Out&of&the&box,218
Transitional&Projects.Retail.226-The&Village&Grape&container&bar,226
Transitional&Projects.Retail.296-Piko&shop&site,296
Transitional&Projects.Retail.298-Dairy&garden,298
Transitional&Projects.Sports,
Transitional&Projects.Sports.180-Gap&golf,180
Transitional&Projects.Sports.202-Sumner&skate&park,202
Transitional&Projects.Sports.206-BMX&pump&track,206
Transitional&Projects.Sports.208-Street&football,208
Transitional&Projects.Sports.270-Christchurch&stadium,270
Transitional&Projects.Sports.360-Lyttelton&urban&down&hill,360
Transitional&Projects.Street&art,
Transitional&Projects.Street&art.66-Capitalism&has&collapsed,66
Transitional&Projects.Street&art.68-Why&is&this&real&not&that?,68
Transitional&Projects.Street&art.70-Band-Aid&bandits,70
Transitional&Projects.Street&art.72-Now&panic&and&freak&out,72
Transitional&Projects.Street&art.74-Nom&nom,74
Transitional&Projects.Street&art.75-Best&demo&2013,75
Transitional&Projects.Street&art.80-Man&About&town,80
Transitional&Projects.Street&art.82-Wonky&Peterborough,82
Transitional&Projects.Street&art.118-Mural&madness,118
Transitional&Projects.Street&art.120-Brighton&up!,120
Transitional&Projects.Street&art.266-Te&Ariki,266
Transitional&Projects.Street&art.284-Phoenix&wall,284
Transitional&Projects.Street&art.286-Jelly&in&Sumner,286
Transitional&Projects.Street&art.288-Greenzone,288
Transitional&Projects.Street&art.334-Pages&Road&mural,334
Transitional&Projects.Street&art.346-Frames,346
Transitional&Projects.Theatre/performance,
Transitional&Projects.Theatre/performance.162-Stand&Your&ground,162
Transitional&Projects.Theatre/performance.246-The&earthquake&in&Chile,246
Transitional&Projects.Theatre/performance.248-Hereafter,248
Transitional&Projects.Theatre/performance.276-Homer&on&the&range,276
Transitional&Projects.Theatre/performance.318-MacBeth,318
Transitional&Projects.Theatre/performance.330-Social&soup,330
Transitional&Projects.Theatre/performance.352-Breaking&wonderful,352
Transitional&Projects.Theatre/performance.354-End&of&the&line,354
Transitional&Projects.Theatre/performance.356-Kissing&booth,356
Transitional&Projects.Toilets,
Transitional&Projects.Toilets.58-Porta-a-loos&on&the&pine&mound,58
Transitional&Projects.Toilets.60-Porta-a-loos&Sumner,60
Transitional&Projects.Venue,
Transitional&Projects.Venue.14-Rent&Party&Club,14
Transitional&Projects.Venue.52-Pallet&Pavillion,52
Transitional&Projects.Venue.182-Poetica&urban&poetry&project,182
Transitional&Projects.Venue.240-UCSA&events&centre,240
Transitional&Projects.Venue.244-The&arts&circus,244
Transitional&Projects.Venue.272-Events&village,272
Transitional&Projects.Venue.302-Outdoor&music&room,302
Transitional&Projects.Venue.324-Scaffold&pavilion,324
